id	kind	label	piece_hex	visible_piece
30097	piece	piece_30097	e2988b	☋
30098	piece	piece_30098	e29893	☓
30099	piece	piece_30099	e29894	☔
30100	piece	piece_30100	e298a5	☥
30101	piece	piece_30101	e298a6	☦
30102	piece	piece_30102	e298ac	☬
30103	piece	piece_30103	e298ad	☭
30104	piece	piece_30104	e298ae	☮
30105	piece	piece_30105	e298af	☯
30106	piece	piece_30106	e298b3	☳
30107	piece	piece_30107	e298b8	☸
30108	piece	piece_30108	e29984	♄
30109	piece	piece_30109	e29985	♅
30110	piece	piece_30110	e29999	♙
30111	piece	piece_30111	e299a2	♢
30112	piece	piece_30112	e299a4	♤
30113	piece	piece_30113	e29a96	⚖
30114	piece	piece_30114	e29a9b	⚛
30115	piece	piece_30115	e29aad	⚭
30116	piece	piece_30116	e29b88	⛈
30117	piece	piece_30117	e29b94	⛔
30118	piece	piece_30118	e29bb0	⛰
30119	piece	piece_30119	e29bb3	⛳
30120	piece	piece_30120	e29bb4	⛴
30121	piece	piece_30121	e29c84	✄
30122	piece	piece_30122	e29c86	✆
30123	piece	piece_30123	e29c92	✒
30124	piece	piece_30124	e29cab	✫
30125	piece	piece_30125	e29cac	✬
30126	piece	piece_30126	e29cb2	✲
30127	piece	piece_30127	e29cb5	✵
30128	piece	piece_30128	e29cb8	✸
30129	piece	piece_30129	e29d82	❂
30130	piece	piece_30130	e29d8b	❋
30131	piece	piece_30131	e29da1	❡
30132	piece	piece_30132	e29da3	❣
30133	piece	piece_30133	e29da5	❥
30134	piece	piece_30134	e29da6	❦
30135	piece	piece_30135	e29e8c	➌
30136	piece	piece_30136	e29e8d	➍
30137	piece	piece_30137	e29e90	➐
30138	piece	piece_30138	e29ea7	➧
30139	piece	piece_30139	e29ea9	➩
30140	piece	piece_30140	e29eb1	➱
30141	piece	piece_30141	e29eb3	➳
30142	piece	piece_30142	e29eba	➺
30143	piece	piece_30143	e29ebc	➼
30144	piece	piece_30144	e29ebd	➽
30145	piece	piece_30145	e29f9d	⟝
30146	piece	piece_30146	e29f9e	⟞
30147	piece	piece_30147	e29faa	⟪
30148	piece	piece_30148	e29fab	⟫
30149	piece	piece_30149	e29fb9	⟹
30150	piece	piece_30150	e2a081	⠁
30151	piece	piece_30151	e2a083	⠃
30152	piece	piece_30152	e2a087	⠇
30153	piece	piece_30153	e2a089	⠉
30154	piece	piece_30154	e2a08a	⠊
30155	piece	piece_30155	e2a08b	⠋
30156	piece	piece_30156	e2a091	⠑
30157	piece	piece_30157	e2a093	⠓
30158	piece	piece_30158	e2a099	⠙
30159	piece	piece_30159	e2a09a	⠚
30160	piece	piece_30160	e2a09b	⠛
30161	piece	piece_30161	e2a0bd	⠽
30162	piece	piece_30162	e2a4a3	⤣
30163	piece	piece_30163	e2a4b5	⤵
30164	piece	piece_30164	e2a6b5	⦵
30165	piece	piece_30165	e2a79c	⧜
30166	piece	piece_30166	e2a7ab	⧫
30167	piece	piece_30167	e2a880	⨀
30168	piece	piece_30168	e2aa86	⪆
30169	piece	piece_30169	e2abb8	⫸
30170	piece	piece_30170	e2abbe	⫾
30171	piece	piece_30171	e2ac92	⬒
30172	piece	piece_30172	e2ac93	⬓
30173	piece	piece_30173	e2ac9b	⬛
30174	piece	piece_30174	e2ae9a	⮚
30175	piece	piece_30175	e2aead	⮭
30176	piece	piece_30176	e2aeb1	⮱
30177	piece	piece_30177	e2b1a1	ⱡ
30178	piece	piece_30178	e2b280	Ⲁ
30179	piece	piece_30179	e2b287	ⲇ
30180	piece	piece_30180	e2b295	ⲕ
30181	piece	piece_30181	e2b297	ⲗ
30182	piece	piece_30182	e2b29d	ⲝ
30183	piece	piece_30183	e2b2a0	Ⲡ
30184	piece	piece_30184	e2b2a1	ⲡ
30185	piece	piece_30185	e2b2a2	Ⲣ
30186	piece	piece_30186	e2b2b1	ⲱ
30187	piece	piece_30187	e2b5a3	ⵣ
30188	piece	piece_30188	e2b7aa	ⷪ
30189	piece	piece_30189	e2b899	⸙
30190	piece	piece_30190	e2b8ac	⸬
30191	piece	piece_30191	e2b8ae	⸮
30192	piece	piece_30192	e2bc80	⼀
30193	piece	piece_30193	e2bca4	⼤
30194	piece	piece_30194	e380a4	〤
30195	piece	piece_30195	e38187	ぇ
30196	piece	piece_30196	e381b4	ぴ
30197	piece	piece_30197	e3829d	ゝ
30198	piece	piece_30198	e383b0	ヰ
30199	piece	piece_30199	e383b1	ヱ
30200	piece	piece_30200	e383b2	ヲ
30201	piece	piece_30201	e383b4	ヴ
30202	piece	piece_30202	e383bd	ヽ
30203	piece	piece_30203	e38486	ㄆ
30204	piece	piece_30204	e3848d	ㄍ
30205	piece	piece_30205	e38492	ㄒ
30206	piece	piece_30206	e3849a	ㄚ
30207	piece	piece_30207	e384a3	ㄣ
30208	piece	piece_30208	e384a4	ㄤ
30209	piece	piece_30209	e384a7	ㄧ
30210	piece	piece_30210	e384b8	ㄸ
30211	piece	piece_30211	e384ba	ㄺ
30212	piece	piece_30212	e38583	ㅃ
30213	piece	piece_30213	e38589	ㅉ
30214	piece	piece_30214	e3858b	ㅋ
